SaleID,name,regDate,model,brand,bodyType,fuelType,gearbox,power,kilometer,notRepairedDamage,regionCode,seller,offerType,creatDate,price,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14
0,736,20040402,30,6,1,0,0,60,12.5,0,1046,0,0,20160404,1850,43.35779631,3.966344166,0.050257094,2.159744094,1.143786187,0.235675907,0.101988241,0.129548661,0.022816367,0.097461829,-2.881803239,2.804096771,-2.420820793,0.795291943,0.9147625
1,2262,20030301,40,1,2,0,0,0,15,-,4366,0,0,20160309,3600,45.30527302,5.236111898,0.137925324,1.38065746,-1.422164921,0.264777256,0.121003594,0.135730707,0.026597448,0.020581663,-4.900481882,2.096337644,-1.030482837,-1.722673775,0.245522411
2,14874,20040403,115,15,1,0,0,163,12.5,0,2806,0,0,20160402,6222,45.97835906,4.823792215,1.319524152,-0.998467274,-0.996911035,0.251410148,0.114912277,0.165147493,0.062172837,0.027074824,-4.84674926,1.803558941,1.565329625,-0.832687327,-0.229962856
3,71865,19960908,109,10,0,0,1,193,15,0,434,0,0,20160312,2400,45.6874782,4.492574134,-0.050615843,0.883599671,-2.228078725,0.274293171,0.110300085,0.121963746,0.033394547,0,-4.509598824,1.285939744,-0.501867908,-2.438352737,-0.478699379
4,111080,20120103,110,5,1,0,0,68,5,0,6977,0,0,20160313,5200,44.38351084,2.031433258,0.572168948,-1.571239028,2.246088325,0.228035622,0.073205054,0.091880479,0.078819385,0.121534241,-1.896240279,0.910783134,0.931109559,2.83451782,1.923481963
5,137642,20090602,24,10,0,1,0,109,10,0,3690,0,0,20160319,8000,46.32316538,-3.229285171,0.156614928,-1.727216924,-0.345689559,0.26024645,0.000518241,0.119837627,0.090921738,0.048769313,1.88552554,-2.721943299,2.457659673,-0.286973452,0.206572584
6,2402,19990411,13,4,0,0,1,150,15,0,3073,0,0,20160317,3500,46.10433462,4.926219444,0.113311433,1.644606453,-1.270381389,0.267998148,0.11767528,0.142334178,0.025445733,0.028174089,-4.902199844,1.610616387,-0.83460509,-1.996117218,-0.103180362
7,165346,19990706,26,14,1,0,0,101,15,0,4000,0,0,20160326,1000,42.25558582,-3.167771424,-0.676692888,1.942672984,0.524205888,0.23950593,0,0.12294313,0.039839362,0.082412534,3.693828758,-0.245014038,-2.192809719,0.236727972,0.195567451
8,2974,20030205,19,1,2,1,1,179,15,0,4679,0,0,20160326,2850,46.08488801,4.89371655,0.47533313,0.55657501,-1.262489869,0.263832786,0.116582681,0.144254766,0.0398512,0.024387577,-4.925234337,1.587795662,0.075347616,-1.551097874,0.069432964
9,82021,19980101,7,7,5,0,0,88,15,0,302,0,0,20160402,650,43.07462648,1.666386196,-2.201544914,3.096860713,0.84385215,0.262472728,0.068267116,0.012175606,0.010291332,0.098727491,-1.089583621,0.60068284,-4.186209599,0.198273061,-1.025822481
